age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0.041,3,0.127,15,10,4,7,3,4,0,0,0,20,38,0
0.452,4,0.027,15,10,2,11,0,4,1,0,1485,40,38,0
0.342,3,0.076,12,14,2,3,0,4,1,0,0,40,38,1
0.534,3,0.204,10,16,2,9,0,4,1,0,0,50,38,1
0.096,3,0.077,11,9,4,0,4,4,0,0,0,45,38,0
0.041,3,0.184,11,9,4,2,1,4,1,0,0,40,38,0
0.534,3,0.128,15,10,6,2,4,4,0,0,0,38,38,0
0.178,3,0.018,15,10,2,3,0,2,1,0,0,99,38,0
0.027,3,0.102,11,9,4,11,3,4,0,0,0,30,38,0
0.164,3,0.104,9,13,4,9,1,1,1,0,0,1,23,0
0.616,3,0.077,6,5,6,6,1,4,0,0,0,35,38,0
0.507,3,0.193,15,10,2,2,0,4,1,7298,0,40,38,1
0.356,3,0.165,4,3,2,6,0,3,1,0,0,40,25,0
0.548,-1,0.265,15,10,2,-1,0,1,1,0,0,60,38,1
0.329,3,0.189,15,10,2,11,0,4,1,0,0,43,38,0
0.082,3,0.292,15,10,4,0,3,2,0,0,0,40,38,0
0.479,0,0.203,8,11,0,4,1,4,0,0,0,40,38,0
0.315,3,0.099,11,9,0,0,4,2,0,0,625,40,38,0
0.260,3,0.363,11,9,2,2,0,4,1,0,0,40,38,0
0.384,3,0.167,14,15,2,9,0,4,1,99999,0,50,38,1
0.425,3,0.117,11,9,4,3,1,4,0,0,0,50,38,0
0.534,4,0.138,2,8,2,3,0,4,1,0,1651,40,38,0
0.685,-1,0.066,11,9,2,-1,0,4,1,0,0,32,38,1
0.493,-1,0.114,11,9,2,-1,0,4,1,0,0,40,38,0
0.411,3,0.302,11,9,2,13,0,4,1,0,0,40,38,1
0.151,3,0.220,14,15,4,9,1,4,1,0,0,80,38,0
0.192,3,0.072,6,5,0,0,1,4,0,0,0,40,38,0
0.205,3,0.153,11,9,2,6,0,4,1,0,0,40,38,0
0.370,3,0.143,11,9,2,2,0,2,1,0,1485,40,13,0
0.164,3,0.232,8,11,4,3,4,4,0,0,0,50,38,0
0.178,3,0.146,11,9,2,13,0,4,1,0,0,40,38,0
0.795,-1,0.078,4,3,2,-1,0,4,1,0,0,25,38,0
0.068,-1,0.115,8,11,4,-1,3,1,1,0,0,20,38,0
0.397,5,0.098,11,9,2,13,0,4,1,0,0,40,38,0
0.205,3,0.076,11,9,4,6,1,4,1,0,0,40,38,0
0.164,3,0.111,15,10,4,2,1,4,1,0,0,38,38,0
0.260,3,0.112,8,11,4,9,4,2,0,0,0,38,38,0
0.452,4,0.294,12,14,2,3,0,4,1,0,0,40,38,1
0.219,3,0.164,9,13,2,9,0,4,1,0,0,25,38,1
0.507,3,0.028,11,9,2,2,0,4,1,0,0,40,38,0
0.370,3,0.072,10,16,2,9,0,4,1,0,0,55,38,1
0.411,-1,0.015,5,4,2,-1,0,4,1,0,0,10,38,0
0.274,3,0.271,11,9,2,2,0,4,1,0,0,35,25,1
0.110,3,0.183,15,10,4,3,3,2,1,0,0,40,38,0
0.219,3,0.017,9,13,2,0,0,4,1,0,0,60,38,0
0.329,3,0.123,11,9,4,3,1,4,0,0,0,40,38,0
0.699,4,0.013,11,9,2,4,0,4,1,0,0,65,38,0
0.110,3,0.061,9,13,4,4,3,4,1,27828,0,50,38,1
0.082,-1,0.096,9,13,4,-1,1,4,0,0,0,50,38,0
0.466,5,0.188,4,3,2,2,0,4,1,0,0,40,38,0
0.247,3,0.185,11,9,4,2,1,4,1,0,0,40,38,0
0.370,4,0.090,15,10,2,3,0,4,1,0,0,50,38,1
0.342,3,0.064,11,9,2,13,0,4,1,0,0,40,38,1
0.397,4,0.180,9,13,2,11,0,4,1,0,0,45,38,0
0.205,3,0.107,9,13,5,12,1,2,1,0,0,40,38,0
0.151,3,0.113,11,9,0,13,4,2,0,0,0,20,38,0
0.288,3,0.104,11,9,0,12,1,4,1,0,0,45,38,0
0.575,3,0.059,15,10,0,7,1,4,1,0,0,40,38,0
0.507,3,0.051,11,9,0,7,4,4,1,0,0,32,38,0
0.274,3,0.100,6,5,5,7,4,4,0,0,0,25,38,0
0.274,5,0.118,9,13,2,13,0,4,1,0,0,50,-1,0
0.055,3,0.153,11,9,2,6,0,4,1,0,0,40,38,0
0.205,3,0.152,2,8,2,2,2,4,1,0,0,40,25,0
0.041,3,0.175,11,9,4,7,3,4,0,0,0,40,25,0
0.740,3,0.076,11,9,6,0,1,4,0,0,0,40,38,0
0.507,1,0.078,11,9,6,7,4,2,0,0,0,40,38,0
0.356,3,0.161,15,10,0,2,4,4,1,0,0,35,38,0
0.479,4,0.202,11,9,2,11,0,4,1,0,0,40,38,1
0.233,3,0.129,9,13,2,0,0,4,1,0,0,27,38,0
0.397,3,0.079,9,13,2,11,0,4,1,0,0,55,38,1
0.493,4,0.059,10,16,2,9,0,4,1,0,0,40,38,1
0.274,6,0.104,11,9,3,7,4,4,0,0,0,20,38,0
0.164,3,0.089,11,9,2,6,0,4,1,0,0,45,38,0
0.260,3,0.120,11,9,4,8,4,2,0,0,0,28,-1,0
0.425,3,0.135,12,14,2,3,0,4,1,0,2415,60,38,1
0.260,3,0.360,11,9,4,0,2,4,0,2907,0,40,26,0
0.534,3,0.109,11,9,0,7,1,4,1,0,0,40,38,0
0.164,3,0.170,9,13,4,0,3,4,0,0,0,40,38,0
0.438,3,0.126,9,13,2,11,0,4,1,0,2415,55,38,1
0.644,3,0.100,11,9,2,13,0,4,1,10566,0,40,38,0
0.247,6,0.059,11,9,4,12,3,4,1,0,0,40,38,0
0.068,3,0.080,15,10,4,6,3,4,1,0,0,48,38,0
0.562,3,0.095,9,13,2,11,0,4,1,0,0,40,38,1
0.548,4,0.091,11,9,2,11,0,4,1,15024,0,30,38,1
0.110,-1,0.015,2,8,5,-1,4,4,0,0,0,30,38,0
0.562,3,0.088,11,9,2,2,0,4,1,0,0,25,38,0
0.123,3,0.198,1,7,2,6,0,4,1,0,0,40,38,0
0.315,3,0.048,15,10,2,6,0,4,1,0,0,37,38,0
0.068,3,0.076,9,13,4,9,1,4,0,0,0,30,38,0
0.041,5,0.125,11,9,0,11,1,4,0,0,0,30,38,0
0.425,3,0.211,9,13,4,9,1,4,1,0,0,40,38,0
0.014,3,0.109,1,7,4,7,3,4,1,0,0,15,28,0
0.521,4,0.051,11,9,2,0,5,4,0,0,0,10,38,0
0.342,1,0.100,9,13,2,9,5,4,0,0,0,45,38,1
0.137,6,0.203,9,13,4,12,1,4,1,0,0,12,38,0
0.219,3,0.101,11,9,0,11,1,1,1,0,0,45,23,0
0.411,3,0.196,15,10,0,6,4,4,0,0,0,40,38,0
0.219,3,0.217,8,11,4,7,4,2,1,0,0,40,38,0
0.151,3,0.120,11,9,0,2,1,4,1,0,0,45,38,0
0.397,3,0.174,7,12,6,0,4,4,0,0,0,40,38,0
0.164,3,0.169,7,12,4,7,4,2,1,0,625,60,38,0
0.329,3,0.061,11,9,4,6,4,4,0,0,0,40,38,0
0.027,3,0.021,15,10,4,7,3,4,1,0,0,20,38,0
0.575,3,0.205,11,9,2,7,0,4,1,0,0,45,4,0
0.041,0,0.091,11,9,4,7,1,4,0,0,0,40,38,0
0.438,5,0.140,9,13,2,11,0,4,1,15024,0,40,38,1
0.233,3,0.069,12,14,4,3,3,4,1,0,0,40,38,0
0.329,3,0.213,2,8,5,2,1,2,1,0,0,40,38,0
0.164,3,0.180,9,13,2,11,0,4,1,3103,0,45,38,1
0.055,3,0.142,11,9,4,11,3,4,0,0,0,35,38,0
0.493,1,0.138,10,16,0,9,1,4,0,10520,0,40,38,1
0.000,3,0.123,1,7,4,4,3,4,0,0,0,18,38,0
0.260,3,0.242,11,9,0,0,4,4,0,0,0,38,38,0
0.260,5,0.140,15,10,2,11,0,4,1,0,0,50,38,1
0.356,3,0.107,15,10,2,3,0,4,1,0,0,50,38,1
0.205,3,0.106,7,12,4,0,1,4,0,0,0,40,38,0
0.205,3,0.190,11,9,4,7,3,4,0,0,0,35,38,0
0.137,3,0.069,8,11,4,0,3,4,0,0,0,35,38,0
0.712,-1,0.314,9,13,2,-1,0,4,1,0,0,20,38,0
0.233,3,0.072,9,13,4,12,1,4,0,0,0,40,38,0
0.068,3,0.148,0,6,4,13,3,4,1,0,0,25,38,0
0.164,3,0.092,15,10,2,2,0,4,1,0,1672,40,38,0
0.274,3,0.073,0,6,2,4,0,4,1,0,0,40,38,0
0.301,3,0.122,15,10,2,0,0,1,1,0,0,25,25,0
0.671,-1,0.105,11,9,2,-1,0,4,1,0,0,30,38,0
0.151,5,0.180,11,9,4,6,2,2,1,0,0,30,38,0
0.082,3,0.013,11,9,4,0,4,4,0,0,0,40,38,0
0.219,3,0.143,5,4,4,4,1,4,1,0,0,40,25,1
0.110,3,0.164,8,11,4,0,1,4,0,0,0,40,38,0
0.753,3,0.109,15,10,2,10,0,4,1,0,0,40,38,0
0.356,3,0.073,11,9,2,2,0,4,1,0,0,40,38,1
0.027,3,0.127,15,10,4,5,3,4,1,0,0,40,38,0
0.288,3,0.062,9,13,5,9,4,4,1,0,0,40,38,0
0.384,3,0.115,15,10,2,2,0,4,1,0,0,40,38,0
0.110,1,0.111,8,11,4,10,3,4,1,0,0,30,38,0
0.110,3,0.135,9,13,4,7,3,4,1,0,0,40,38,0
0.301,3,0.096,9,13,2,3,0,4,1,0,0,45,38,1
0.096,3,0.155,15,10,4,7,1,4,1,0,0,40,38,0
0.342,6,0.265,14,15,0,9,4,4,0,0,0,40,38,0
0.370,0,0.134,15,10,0,0,4,2,1,0,0,40,38,0
0.137,3,0.030,11,9,0,2,1,4,1,0,0,45,38,0
0.014,-1,0.062,15,10,4,-1,3,4,0,0,0,30,38,0
0.329,3,0.212,11,9,2,6,0,4,1,0,0,40,38,0
0.384,6,0.132,15,10,4,0,4,4,0,0,0,40,38,0
0.534,5,0.098,11,9,2,2,0,4,1,0,0,40,38,0
0.384,5,0.144,9,13,2,3,0,4,1,0,0,50,38,1
0.068,3,0.198,9,13,4,0,1,1,0,0,0,10,39,0
0.342,3,0.028,11,9,2,5,0,4,1,0,0,40,38,0
0.192,3,0.059,12,14,0,3,1,4,0,0,0,40,38,0
0.055,3,0.135,7,12,4,0,1,2,0,0,0,40,38,0
0.260,3,0.037,11,9,2,11,0,4,1,0,0,50,38,0
0.260,3,0.140,15,10,0,2,4,4,0,0,0,40,38,0
0.493,1,0.118,15,10,2,10,0,4,1,0,1887,40,38,1
0.247,3,0.111,15,10,6,0,4,4,0,0,0,30,38,0
0.000,3,0.118,0,6,4,7,3,4,0,0,0,15,38,0
0.370,3,0.135,15,10,2,3,0,4,1,0,0,50,38,0
0.397,3,0.129,9,13,2,11,0,4,1,0,0,48,38,0
0.082,3,0.127,11,9,0,5,3,4,1,0,0,44,38,0
0.616,4,0.151,11,9,0,3,1,2,1,0,0,40,38,0
0.151,3,0.080,9,13,2,9,5,4,0,0,0,40,38,1
0.397,3,0.126,12,14,0,3,4,4,0,0,323,45,38,0
0.068,3,0.104,11,9,4,7,2,4,1,0,0,40,-1,0
0.548,1,0.007,12,14,2,3,0,2,1,0,0,40,38,1
0.534,3,0.026,11,9,2,11,0,4,1,0,0,45,38,1
0.027,3,0.190,15,10,4,7,3,4,0,0,0,20,38,0
0.192,5,0.097,11,9,0,7,1,4,1,0,0,35,38,0
0.274,3,0.016,11,9,4,7,1,4,0,0,0,40,38,0
0.205,3,0.174,15,10,2,13,0,4,1,5178,0,50,38,1
0.329,6,0.114,12,14,4,9,3,4,0,0,0,35,38,0
0.110,3,0.245,2,8,2,7,5,4,0,0,0,40,38,0
0.301,3,0.165,9,13,4,3,1,4,1,0,0,40,38,1
0.068,3,0.199,15,10,4,5,3,4,1,0,0,50,38,0
0.493,3,0.007,15,10,2,2,0,4,1,0,0,40,38,0
0.123,0,0.178,15,10,2,0,0,2,1,0,0,40,38,0
0.479,3,0.133,11,9,0,0,4,4,0,0,1741,38,38,0
0.370,3,0.032,11,9,2,13,0,4,1,0,0,40,38,1
0.548,4,0.026,11,9,2,3,0,4,1,0,0,60,38,1
0.151,3,0.054,11,9,2,2,0,4,1,0,0,40,38,0
0.027,6,0.111,11,9,4,0,3,4,0,0,0,30,38,0
0.370,4,0.212,8,11,2,4,0,4,1,0,0,40,38,0
0.521,5,0.130,11,9,2,11,0,4,1,0,0,35,38,0
0.233,-1,0.231,8,11,2,-1,0,4,1,3103,0,60,38,1
0.288,5,0.117,11,9,2,5,0,4,1,0,0,40,38,1
0.425,3,0.292,12,14,4,9,1,4,1,0,0,60,38,0
0.247,0,0.131,4,3,4,2,1,4,1,0,0,40,25,0
0.205,3,0.082,11,9,2,0,0,4,1,0,0,40,38,0
0.110,3,0.165,9,13,4,0,1,4,0,0,0,40,38,0
0.027,3,0.312,3,2,4,5,2,4,1,0,0,52,25,0
0.027,3,0.184,15,10,4,0,3,4,1,0,0,25,38,0
0.014,3,0.009,1,7,4,5,3,4,1,0,0,16,38,0
0.082,3,0.086,1,7,4,5,3,4,1,0,0,50,38,0
0.164,3,0.137,15,10,0,5,1,4,1,2174,0,40,38,0
0.452,3,0.089,11,9,5,11,4,4,0,0,0,55,38,0
0.123,3,0.063,11,9,2,2,0,4,1,5013,0,60,38,0
0.178,3,0.084,11,9,2,13,0,4,1,0,0,40,38,1
0.164,0,0.235,11,9,4,7,4,4,1,0,0,40,38,0
0.151,3,0.093,11,9,2,6,0,0,1,0,0,45,38,0
0.479,3,0.119,15,10,0,11,1,4,0,0,0,49,38,0
0.247,3,0.014,11,9,2,5,0,4,1,0,0,45,38,0
0.288,3,0.116,15,10,4,7,1,4,1,0,0,50,11,0
0.288,3,0.068,9,13,2,3,0,4,1,0,0,55,38,1
0.055,3,0.135,15,10,4,0,1,4,0,0,0,27,38,0
0.315,3,0.081,12,14,2,9,0,4,1,0,0,50,38,0
0.014,3,0.026,0,6,4,7,1,2,1,0,0,20,38,0
0.137,3,0.133,8,11,2,9,0,4,1,0,0,44,38,1
0.110,3,0.132,9,13,4,7,1,4,0,0,0,60,38,0
0.082,6,0.127,11,9,4,7,3,4,0,0,0,21,38,0
0.356,3,0.094,15,10,2,13,0,4,1,0,0,50,38,0
0.370,6,0.067,12,14,2,9,0,4,1,0,0,40,38,1
0.082,3,0.075,1,7,0,7,4,4,0,0,0,35,38,0
0.123,3,0.151,9,13,2,0,0,4,1,0,0,40,38,1
0.123,3,0.138,11,9,2,2,0,4,1,0,0,40,38,0
0.301,3,0.117,9,13,2,9,0,4,1,0,0,40,38,1
0.027,3,0.080,4,3,4,4,1,4,1,0,0,36,25,0
0.685,3,0.122,11,9,6,3,1,4,0,0,0,35,38,0
0.123,3,0.118,8,11,2,0,5,4,0,0,0,40,38,1
0.384,4,0.119,14,15,2,9,0,4,1,0,0,50,38,1
0.219,5,0.202,2,8,4,2,1,2,1,0,0,32,38,0
0.411,4,0.078,15,10,2,11,0,4,1,0,0,80,38,0
0.575,3,0.006,11,9,6,7,1,4,0,0,0,10,38,0
0.151,3,0.160,1,7,2,13,0,4,1,0,0,50,38,0
0.233,3,0.013,11,9,0,6,2,4,0,0,0,40,-1,0
0.603,3,0.145,11,9,2,12,0,4,1,0,0,40,38,1
0.110,3,0.150,7,12,4,12,1,4,1,0,0,30,38,0
0.562,3,0.182,9,13,2,9,0,4,1,0,0,40,38,1
0.342,3,0.128,12,14,2,11,0,4,1,0,0,50,38,1
0.329,3,0.109,11,9,2,7,0,4,1,0,0,40,-1,0
0.493,3,0.071,15,10,0,0,4,4,0,0,0,38,38,0
0.260,3,0.173,11,9,2,2,0,4,1,0,0,41,38,0
0.397,3,0.183,9,13,2,3,0,4,1,0,0,50,38,1
0.301,3,0.121,11,9,4,0,1,4,0,0,0,40,38,0
0.192,3,0.016,9,13,2,6,0,4,1,0,0,50,38,0
0.301,5,0.081,15,10,2,11,0,4,1,7688,0,80,38,1
0.123,3,0.207,0,6,2,5,0,4,1,0,0,40,38,0
0.082,3,0.139,7,12,4,11,3,4,0,0,0,40,38,0
0.329,4,0.035,11,9,2,4,0,4,1,0,0,50,38,0
0.370,3,0.173,12,14,2,9,0,4,1,0,0,42,38,1
0.740,-1,0.016,9,13,2,-1,0,4,1,9386,0,30,38,1
0.192,3,0.078,15,10,2,11,0,4,1,0,0,40,38,0
0.575,6,0.122,10,16,2,9,0,4,1,0,0,40,38,1
0.178,6,0.224,15,10,2,0,0,4,1,0,0,40,38,1
0.274,3,0.119,9,13,2,0,0,4,1,0,0,40,38,0
0.411,5,0.171,11,9,2,13,0,4,1,0,0,45,38,1
0.384,3,0.132,4,3,3,7,1,4,1,0,0,40,6,0
0.411,3,0.202,15,10,0,6,1,2,1,0,0,40,38,0
0.233,3,0.130,11,9,2,7,5,4,0,0,0,35,38,0
0.315,3,0.103,11,9,2,11,0,4,1,0,0,24,38,0
0.164,6,0.100,12,14,2,12,0,4,1,0,0,50,10,0
0.027,3,0.118,11,9,4,7,4,2,1,0,0,40,38,0
0.329,5,0.068,8,11,2,4,0,4,1,0,0,70,38,1
0.000,-1,0.024,1,7,4,-1,3,4,1,0,0,10,38,0
0.151,3,0.090,11,9,0,13,1,4,1,0,0,70,38,0
0.370,3,0.094,15,10,2,11,0,4,1,0,0,50,38,0
0.096,3,0.127,9,13,4,7,3,4,0,0,0,30,38,0
0.315,3,0.140,11,9,0,12,4,4,0,0,0,40,38,0
0.000,3,0.028,2,8,4,7,3,4,0,0,0,6,38,0
0.068,3,0.263,15,10,2,13,0,4,1,0,0,48,38,1
0.123,1,0.100,0,6,2,7,0,4,1,0,0,40,38,0
0.479,1,0.226,12,14,4,9,3,4,0,0,0,40,38,0
0.096,3,0.150,11,9,3,11,3,4,0,0,0,36,38,0
0.452,3,0.203,11,9,2,13,0,4,1,0,0,40,38,0
0.192,3,0.121,9,13,4,3,3,4,0,0,1590,35,-1,0
0.110,3,0.225,11,9,2,7,0,4,1,0,0,50,25,0
0.493,3,0.095,0,6,2,2,0,2,1,0,0,40,38,0
0.014,3,0.109,11,9,4,11,3,2,0,0,0,18,38,0
0.205,1,0.066,8,11,0,9,4,2,0,0,0,40,38,0
0.082,3,0.062,11,9,4,0,1,4,0,0,0,40,38,0
0.425,3,0.098,9,13,2,11,0,4,1,0,0,45,38,1
0.219,3,0.174,11,9,4,3,1,4,1,0,0,32,38,0
0.671,-1,0.068,1,7,4,-1,1,4,1,0,0,30,38,0
0.137,3,0.064,15,10,5,11,1,4,1,0,0,40,38,0
0.178,4,0.078,9,13,2,3,0,4,1,15024,0,65,38,1
0.658,3,0.116,11,9,2,6,0,4,1,6418,0,40,38,1
0.329,3,0.014,11,9,0,7,1,4,1,0,0,40,38,0
0.630,3,0.115,11,9,6,3,4,4,1,0,0,50,38,1
0.644,-1,0.249,9,13,2,-1,5,2,0,0,0,8,38,0
0.425,3,0.099,11,9,2,0,5,4,0,0,0,40,38,1
0.288,3,0.024,11,9,2,5,0,4,1,0,0,40,38,0
0.644,0,0.127,5,4,6,7,4,4,0,0,0,30,32,0
0.260,3,0.059,11,9,2,6,0,4,1,0,0,45,38,1
0.384,1,0.136,12,14,4,9,1,4,0,0,0,45,38,0
0.247,3,0.065,11,9,0,2,1,4,1,0,0,40,38,0
0.370,3,0.087,2,8,0,6,4,1,0,0,0,40,34,0
0.589,5,0.122,15,10,2,4,0,4,1,0,0,15,38,0
0.123,3,0.032,9,13,4,6,2,4,1,0,0,40,38,0
0.534,3,0.115,11,9,2,6,0,4,1,0,0,40,38,0
0.644,-1,0.046,11,9,6,-1,1,4,0,0,0,4,38,0
0.096,3,0.135,15,10,4,7,3,4,0,0,0,40,25,0
0.260,3,0.127,0,6,2,13,0,4,1,0,0,70,38,0
0.260,3,0.154,8,11,4,6,1,4,1,0,0,40,38,0
0.644,1,0.068,11,9,6,3,1,4,1,0,0,40,38,0
0.164,5,0.146,9,13,4,9,1,2,1,0,0,40,38,0
0.274,3,0.083,9,13,2,3,5,4,0,0,0,37,38,1
0.219,3,0.137,1,7,4,5,3,2,1,0,0,40,38,0
0.274,1,0.077,9,13,2,9,5,4,0,7688,0,40,38,1
0.014,5,0.101,2,8,4,4,3,4,1,0,0,50,38,0
0.274,3,0.039,7,12,4,11,4,2,0,0,0,40,38,0
0.014,3,0.111,11,9,4,5,3,4,1,0,0,30,38,0
0.575,3,0.109,15,10,0,9,4,4,1,0,0,40,38,0
0.096,3,0.167,4,3,4,4,2,2,1,0,0,40,25,0
0.479,4,0.042,11,9,2,11,0,1,1,0,0,40,38,1
0.329,3,0.123,9,13,2,3,0,4,1,0,0,60,38,1
0.438,3,0.013,11,9,2,3,5,4,0,0,0,43,38,0
0.507,3,0.168,12,14,2,9,0,4,1,0,0,40,38,1
0.247,3,0.123,9,13,2,9,0,1,1,0,0,40,29,1
0.877,5,0.122,3,2,6,11,2,4,1,0,0,45,25,0
0.082,3,0.088,12,14,2,9,0,1,1,0,1887,50,18,1
0.027,3,0.023,15,10,4,5,1,4,1,0,0,45,38,0
0.342,3,0.019,8,11,2,7,0,4,1,0,0,30,38,0
0.014,3,0.135,11,9,2,2,0,4,1,0,0,25,38,0
0.411,4,0.200,11,9,2,11,5,4,0,0,0,40,38,0
0.493,6,0.098,11,9,2,0,0,4,1,15024,0,35,38,1
0.288,3,0.152,11,9,2,2,0,4,1,0,0,45,38,1
0.397,3,0.082,8,11,2,2,0,4,1,0,0,40,38,0
0.233,3,0.067,11,9,2,11,0,4,1,0,0,50,38,1
0.288,3,0.122,11,9,4,7,4,4,1,0,1408,40,-1,0
0.192,3,0.147,11,9,2,2,0,4,1,0,0,40,38,0
0.233,5,0.065,14,15,2,9,0,4,1,0,0,55,38,1
0.603,3,0.112,7,12,2,3,0,4,1,0,0,42,38,0
0.479,3,0.056,11,9,6,7,4,4,1,0,0,19,38,0
0.425,3,0.200,9,13,2,12,0,1,1,0,0,45,29,1
0.329,3,0.089,15,10,0,6,3,4,1,0,0,40,21,0
0.452,5,0.136,11,9,2,3,0,4,1,0,0,50,38,0
0.068,3,0.123,11,9,4,11,1,4,0,0,0,25,38,0
0.493,3,0.104,9,13,2,6,5,1,0,0,0,40,2,0
0.123,3,0.072,11,9,2,13,0,4,1,0,0,50,38,0
0.137,1,0.216,11,9,4,4,3,4,1,0,0,40,38,0
0.630,5,0.100,0,6,2,6,0,4,1,0,0,40,38,0
0.342,5,0.045,9,13,2,4,0,4,1,0,0,65,38,0
0.096,1,0.162,15,10,2,10,0,4,1,0,0,72,38,1
0.178,3,0.131,11,9,2,13,0,4,1,0,0,73,38,1
0.041,3,0.121,7,12,4,7,1,4,0,0,0,40,38,0
0.233,4,0.046,15,10,2,4,0,4,1,0,0,72,38,0
0.479,3,0.281,11,9,2,6,0,4,1,0,0,43,38,0
0.479,4,0.218,10,16,2,9,0,4,1,99999,0,65,38,1
0.342,3,0.143,15,10,6,11,4,2,0,0,0,40,38,0
0.137,5,0.134,11,9,2,6,3,4,1,0,0,40,38,0
0.233,3,0.068,14,15,2,9,0,4,1,0,1977,55,38,1
0.329,3,0.111,11,9,2,13,0,4,1,0,0,60,38,0
0.219,3,0.071,9,13,2,3,0,4,1,0,0,40,38,1
0.151,3,0.122,9,13,2,9,0,4,1,0,0,40,23,0
0.082,3,0.082,15,10,4,0,3,4,1,0,0,15,38,0
1.000,3,0.161,0,6,2,3,0,4,1,0,0,40,38,0
0.685,1,0.121,10,16,4,9,1,4,0,7896,0,50,38,1
0.397,1,0.014,15,10,2,7,0,4,1,0,0,40,38,0
0.288,5,0.112,11,9,2,11,0,4,1,0,0,40,38,0
0.575,1,0.060,8,11,0,0,1,4,0,0,0,40,38,0
0.096,3,0.215,9,13,4,9,1,1,1,0,0,16,-1,0
0.644,3,0.092,0,6,5,7,1,4,0,0,0,35,38,0
0.384,4,0.130,9,13,0,3,4,4,1,0,0,50,38,1
0.247,3,0.224,11,9,4,12,1,4,0,1151,0,40,38,0
0.137,3,0.092,0,6,4,6,4,4,0,0,0,40,38,0
0.247,5,0.121,15,10,2,11,0,4,1,0,0,50,38,0
0.452,3,0.096,0,6,2,6,0,4,1,0,0,50,38,0
0.288,4,0.166,11,9,4,4,1,4,1,0,0,50,38,0
0.096,3,0.095,9,13,0,13,4,4,0,0,0,40,38,0
0.151,3,0.007,15,10,4,5,1,4,1,0,0,40,38,0
0.342,3,0.100,11,9,2,7,5,4,0,0,0,24,38,0
0.247,3,0.165,11,9,4,7,3,4,0,0,0,27,38,0
0.425,3,0.132,11,9,0,0,4,4,0,0,0,37,38,0
0.342,6,0.047,11,9,2,10,0,4,1,0,0,72,38,1
0.123,3,0.185,9,13,4,3,1,1,1,0,0,35,34,0
0.041,3,0.273,15,10,4,5,1,4,1,0,0,30,38,0
0.247,3,0.007,11,9,2,2,0,4,1,0,0,40,38,0
0.233,3,0.236,1,7,2,13,0,4,1,0,0,40,38,0
